Postcode,Suburb,State
2601,ACTON,ACT
2602,AINSLIE,ACT
2914,AMAROO,ACT
2614,ARANDA,ACT
0200,AUSTRALIAN NATIONAL UNIVERSITY,ACT
2906,BANKS,ACT
2600,BARTON,ACT
2620,BEARD,ACT
2616,BELCONNEN,ACT
2617,BELCONNEN,ACT
2617,BELCONNEN DC,ACT
2914,BONNER,ACT
2905,BONYTHON,ACT
2620,BOOTH,ACT
2612,BRADDON,ACT
2617,BRUCE,ACT
2905,CALWELL,ACT
2612,CAMPBELL,ACT
2600,CANBERRA,ACT
2601,CANBERRA,ACT
2609,CANBERRA AIRPORT,ACT
2610,CANBERRA BC,ACT
2610,CANBERRA MC,ACT
2600,CAPITAL HILL,ACT
2913,CASEY,ACT
2604,CAUSEWAY,ACT
2611,CHAPMAN,ACT
2615,CHARNWOOD,ACT
2606,CHIFLEY,ACT
2905,CHISHOLM,ACT
2601,CITY,ACT
2608,CIVIC SQUARE,ACT
2906,CONDER,ACT
2614,COOK,ACT
2611,COOMBS,ACT
2611,COREE,ACT
2911,CRACE,ACT
2605,CURTIN,ACT
2600,DEAKIN,ACT
2600,DEAKIN WEST,ACT
2611,DENMAN PROSPECT,ACT
2602,DICKSON,ACT
2602,DOWNER,ACT
2611,DUFFY,ACT
2615,DUNLOP,ACT
2903,ERINDALE CENTRE,ACT
2617,EVATT,ACT
2904,FADDEN,ACT
2607,FARRER,ACT
2611,FISHER,ACT
2615,FLOREY,ACT
2615,FLYNN,ACT
2914,FORDE,ACT
2603,FORREST,ACT
2913,FRANKLIN,ACT
2615,FRASER,ACT
2609,FYSHWICK,ACT
2605,GARRAN,ACT
2905,GILMORE,ACT
2617,GIRALANG,ACT
2906,GORDON,ACT
2904,GOWRIE,ACT
2900,GREENWAY,ACT
2603,GRIFFITH,ACT
2912,GUNGAHLIN,ACT
2602,HACKETT,ACT
2618,HALL,ACT
2600,HARMAN,ACT
2914,HARRISON,ACT
2614,HAWKER,ACT
2615,HIGGINS,ACT
2540,HMAS CRESWELL,ACT
2600,HMAS HARMAN,ACT
2611,HOLDER,ACT
2615,HOLT,ACT
2605,HUGHES,ACT
2620,HUME,ACT
2607,ISAACS,ACT
2905,ISABELLA PLAINS,ACT
2914,JACKA,ACT
2614,JAMISON CENTRE,ACT
2540,JERVIS BAY,ACT
2617,KALEEN,ACT
2902,KAMBAH,ACT
2902,KAMBAH VILLAGE,ACT
2911,KENNY,ACT
2604,KINGSTON,ACT
2615,KIPPAX,ACT
2620,KOWEN,ACT
2615,LATHAM,ACT
2617,LAWSON,ACT
2602,LYNEHAM,ACT
2606,LYONS,ACT
2904,MACARTHUR,ACT
2615,MACGREGOR,ACT
2615,MACNAMARA,ACT
2614,MACQUARIE,ACT
2609,MAJURA,ACT
2603,MANUKA,ACT
2607,MAWSON,ACT
2617,MCKELLAR,ACT
2615,MELBA,ACT
2911,MITCHELL,ACT
2611,MOLONGLO,ACT
2904,MONASH,ACT
2914,MONCRIEFF,ACT
2604,NARRABUNDAH,ACT
2913,NGUNNAWAL,ACT
2913,NICHOLLS,ACT
2620,OAKS ESTATE,ACT
2903,OXLEY,ACT
2620,PADDYS RIVER,ACT
2614,PAGE,ACT
2913,PALMERSTON,ACT
2600,PARKES,ACT
2607,PEARCE,ACT
2606,PHILLIP,ACT
2609,PIALLIGO,ACT
2603,RED HILL,ACT
2612,REID,ACT
2905,RICHARDSON,ACT
2611,RIVETT,ACT
2600,RUSSELL,ACT
2614,SCULLIN,ACT
2615,SPENCE,ACT
2611,STIRLING,ACT
2615,STRATHNAIRN,ACT
2611,STROMLO,ACT
2609,SYMONSTON,ACT
2913,TAYLOR,ACT
2620,TENNENT,ACT
2620,THARWA,ACT
